Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
102,1,2013-01-21,9711,1315,1,1,0,0
1046,1,2013-01-21,8163,650,1,1,0,0
793,1,2013-01-21,4704,402,1,1,0,0
903,1,2013-01-21,14176,938,1,1,0,0
266,2,2013-01-22,6665,743,1,1,0,0
102,2,2013-01-22,9642,1321,1,1,0,0
1046,2,2013-01-22,8793,668,1,1,0,0
793,2,2013-01-22,6079,496,1,1,0,0
903,2,2013-01-22,11629,780,1,1,0,0
266,3,2013-01-23,5824,641,1,1,0,0
102,3,2013-01-23,7979,1151,1,1,0,0
1046,3,2013-01-23,8802,636,1,1,0,0
793,3,2013-01-23,4846,455,1,1,0,0
903,3,2013-01-23,11869,773,1,1,0,0
266,4,2013-01-24,5673,651,1,1,0,0
102,4,2013-01-24,7924,1098,1,1,0,0
1046,4,2013-01-24,7592,626,1,1,0,0
793,4,2013-01-24,5275,462,1,1,0,0
903,4,2013-01-24,10413,743,1,1,0,0
266,5,2013-01-25,5407,569,1,1,0,0
102,5,2013-01-25,7653,1121,1,1,0,0
1046,5,2013-01-25,8694,678,1,1,0,0
793,5,2013-01-25,5891,514,1,1,0,0
903,5,2013-01-25,11772,804,1,1,0,0
266,6,2013-01-26,2494,303,1,0,0,0
102,6,2013-01-26,6477,995,1,0,0,0
1046,6,2013-01-26,6187,527,1,0,0,0
793,6,2013-01-26,3648,383,1,0,0,0
903,6,2013-01-26,10709,801,1,0,0,0
266,7,2013-01-27,0,0,0,0,0,0
102,7,2013-01-27,0,0,0,0,0,0
1046,7,2013-01-27,0,0,0,0,0,0
793,7,2013-01-27,0,0,0,0,0,0
903,7,2013-01-27,0,0,0,0,0,0
266,1,2013-01-28,4002,539,1,0,0,0
102,1,2013-01-28,5265,957,1,0,0,0
1046,1,2013-01-28,5435,499,1,0,0,0
793,1,2013-01-28,2857,327,1,0,0,0
903,1,2013-01-28,9660,748,1,0,0,0
266,2,2013-01-29,3510,475,1,0,0,0
102,2,2013-01-29,5117,885,1,0,0,0
1046,2,2013-01-29,4742,453,1,0,0,0
793,2,2013-01-29,2514,299,1,0,0,0
903,2,2013-01-29,9327,667,1,0,0,0
266,3,2013-01-30,4352,593,1,0,0,0
102,3,2013-01-30,5999,921,1,0,0,0
1046,3,2013-01-30,6809,543,1,0,0,0
793,3,2013-01-30,2930,308,1,0,0,0
903,3,2013-01-30,9238,697,1,0,0,0
266,4,2013-01-31,4566,620,1,0,0,0
102,4,2013-01-31,9101,1240,1,0,0,0
1046,4,2013-01-31,6927,611,1,0,0,0
793,4,2013-01-31,3714,383,1,0,0,0
903,4,2013-01-31,10230,737,1,0,0,0
266,5,2013-02-01,4042,522,1,0,0,0
102,5,2013-02-01,7553,1163,1,0,0,0
1046,5,2013-02-01,7883,654,1,0,0,1
793,5,2013-02-01,4442,417,1,0,0,0
903,5,2013-02-01,11347,814,1,0,0,0
266,6,2013-02-02,2471,271,1,0,0,0
102,6,2013-02-02,9104,1369,1,0,0,0
1046,6,2013-02-02,5359,488,1,0,0,0
793,6,2013-02-02,4252,437,1,0,0,0
903,6,2013-02-02,12490,902,1,0,0,0
266,7,2013-02-03,0,0,0,0,0,0
102,7,2013-02-03,0,0,0,0,0,0
1046,7,2013-02-03,0,0,0,0,0,0
793,7,2013-02-03,0,0,0,0,0,0
903,7,2013-02-03,0,0,0,0,0,0
266,1,2013-02-04,6963,698,1,1,0,1
102,1,2013-02-04,11253,1566,1,1,0,0
1046,1,2013-02-04,11150,847,1,1,0,1
793,1,2013-02-04,7875,630,1,1,0,0
903,1,2013-02-04,12648,881,1,1,0,0
266,2,2013-02-05,6331,693,1,1,0,1
102,2,2013-02-05,8767,1249,1,1,0,0
1046,2,2013-02-05,9356,648,1,1,0,1
793,2,2013-02-05,4995,456,1,1,0,0
903,2,2013-02-05,11160,771,1,1,0,0
266,3,2013-02-06,6103,698,1,1,0,1
102,3,2013-02-06,6538,1084,1,1,0,0
1046,3,2013-02-06,8029,626,1,1,0,1
793,3,2013-02-06,4754,457,1,1,0,0
903,3,2013-02-06,10839,775,1,1,0,0
266,4,2013-02-07,5261,602,1,1,0,1
102,4,2013-02-07,8756,1137,1,1,0,0
1046,4,2013-02-07,7134,603,1,1,0,1
793,4,2013-02-07,4029,409,1,1,0,0
903,4,2013-02-07,9691,678,1,1,0,0
266,5,2013-02-08,4926,572,1,1,0,1
102,5,2013-02-08,7483,1177,1,1,0,0
1046,5,2013-02-08,7870,651,1,1,0,1
793,5,2013-02-08,4001,382,1,1,0,0
903,5,2013-02-08,13015,898,1,1,0,0
266,6,2013-02-09,2666,281,1,0,0,0
102,6,2013-02-09,5805,1026,1,0,0,0
1046,6,2013-02-09,6111,530,1,0,0,0
793,6,2013-02-09,4227,447,1,0,0,0
903,6,2013-02-09,12278,899,1,0,0,0
266,7,2013-02-10,0,0,0,0,0,0
102,7,2013-02-10,0,0,0,0,0,0
1046,7,2013-02-10,0,0,0,0,0,0
793,7,2013-02-10,0,0,0,0,0,0
903,7,2013-02-10,0,0,0,0,0,0
266,1,2013-02-11,4362,574,1,0,0,1
102,1,2013-02-11,3259,651,1,0,0,0
1046,1,2013-02-11,6361,592,1,0,0,0
793,1,2013-02-11,2950,334,1,0,0,0
903,1,2013-02-11,10311,786,1,0,0,1
266,2,2013-02-12,3783,518,1,0,0,1
102,2,2013-02-12,5471,924,1,0,0,0
1046,2,2013-02-12,5405,464,1,0,0,0
793,2,2013-02-12,2839,309,1,0,0,0
903,2,2013-02-12,6753,527,1,0,0,1
266,3,2013-02-13,3354,500,1,0,0,1
102,3,2013-02-13,4954,873,1,0,0,0
1046,3,2013-02-13,6731,597,1,0,0,0
793,3,2013-02-13,3062,321,1,0,0,0
903,3,2013-02-13,8599,640,1,0,0,1
266,4,2013-02-14,4359,570,1,0,0,1
102,4,2013-02-14,5490,871,1,0,0,0
1046,4,2013-02-14,6306,617,1,0,0,0
793,4,2013-02-14,3191,320,1,0,0,0
903,4,2013-02-14,10290,710,1,0,0,1
266,5,2013-02-15,4045,479,1,0,0,1
102,5,2013-02-15,4648,819,1,0,0,0
1046,5,2013-02-15,7345,641,1,0,0,0
793,5,2013-02-15,3316,364,1,0,0,0
903,5,2013-02-15,10907,762,1,0,0,1
266,6,2013-02-16,2416,271,1,0,0,0
102,6,2013-02-16,5364,909,1,0,0,0
1046,6,2013-02-16,5501,511,1,0,0,0
793,6,2013-02-16,3659,412,1,0,0,0
903,6,2013-02-16,11081,807,1,0,0,0
266,7,2013-02-17,0,0,0,0,0,0
102,7,2013-02-17,0,0,0,0,0,0
1046,7,2013-02-17,0,0,0,0,0,0
793,7,2013-02-17,0,0,0,0,0,0
903,7,2013-02-17,0,0,0,0,0,0
266,1,2013-02-18,8231,802,1,1,0,0
102,1,2013-02-18,11545,1573,1,1,0,0
1046,1,2013-02-18,12638,901,1,1,0,0
793,1,2013-02-18,7933,639,1,1,0,0
903,1,2013-02-18,14808,937,1,1,0,0
266,2,2013-02-19,4842,548,1,1,0,0
102,2,2013-02-19,8196,1204,1,1,0,0
1046,2,2013-02-19,7870,556,1,1,0,0
793,2,2013-02-19,5237,422,1,1,0,0
903,2,2013-02-19,11786,784,1,1,0,0
266,3,2013-02-20,5503,531,1,1,0,0
102,3,2013-02-20,7470,1133,1,1,0,0
1046,3,2013-02-20,8657,675,1,1,0,0
793,3,2013-02-20,4900,411,1,1,0,0
903,3,2013-02-20,9672,661,1,1,0,0
266,4,2013-02-21,5389,608,1,1,0,0
102,4,2013-02-21,7080,1070,1,1,0,0
1046,4,2013-02-21,8472,647,1,1,0,0
793,4,2013-02-21,4283,404,1,1,0,0
903,4,2013-02-21,10931,793,1,1,0,0
266,5,2013-02-22,4778,533,1,1,0,0
102,5,2013-02-22,6987,1037,1,1,0,0
1046,5,2013-02-22,8451,633,1,1,0,0
793,5,2013-02-22,4398,424,1,1,0,0
903,5,2013-02-22,11847,841,1,1,0,0
266,6,2013-02-23,2029,206,1,0,0,0
102,6,2013-02-23,4606,827,1,0,0,0
1046,6,2013-02-23,3412,321,1,0,0,0
793,6,2013-02-23,4145,414,1,0,0,0
903,6,2013-02-23,10769,823,1,0,0,0
266,7,2013-02-24,0,0,0,0,0,0
102,7,2013-02-24,0,0,0,0,0,0
1046,7,2013-02-24,0,0,0,0,0,0
793,7,2013-02-24,0,0,0,0,0,0
903,7,2013-02-24,0,0,0,0,0,0
266,1,2013-02-25,3956,524,1,0,0,0
102,1,2013-02-25,4101,802,1,0,0,0
1046,1,2013-02-25,5125,445,1,0,0,0
793,1,2013-02-25,2553,304,1,0,0,0
903,1,2013-02-25,10186,756,1,0,0,0
266,2,2013-02-26,4741,522,1,0,0,0
102,2,2013-02-26,4708,888,1,0,0,0
1046,2,2013-02-26,4859,440,1,0,0,0
793,2,2013-02-26,2388,283,1,0,0,0
903,2,2013-02-26,6709,517,1,0,0,0
266,3,2013-02-27,4291,506,1,0,0,0
102,3,2013-02-27,5268,873,1,0,0,0
1046,3,2013-02-27,5995,486,1,0,0,0
793,3,2013-02-27,2751,289,1,0,0,0
903,3,2013-02-27,8365,644,1,0,0,0
266,4,2013-02-28,6179,670,1,0,0,0
102,4,2013-02-28,8274,1202,1,0,0,0
1046,4,2013-02-28,7066,582,1,0,0,0
793,4,2013-02-28,3777,394,1,0,0,0
903,4,2013-02-28,11145,811,1,0,0,0
266,5,2013-03-01,4537,566,1,0,0,0
102,5,2013-03-01,6836,1037,1,0,0,0
1046,5,2013-03-01,7956,664,1,0,0,0
793,5,2013-03-01,3684,392,1,0,0,0
903,5,2013-03-01,11429,860,1,0,0,0
266,6,2013-03-02,3519,351,1,0,0,0
102,6,2013-03-02,8070,1250,1,0,0,0
1046,6,2013-03-02,6454,517,1,0,0,0
793,6,2013-03-02,4126,437,1,0,0,0
903,6,2013-03-02,12998,912,1,0,0,0
266,7,2013-03-03,0,0,0,0,0,0
102,7,2013-03-03,0,0,0,0,0,0
1046,7,2013-03-03,0,0,0,0,0,0
793,7,2013-03-03,0,0,0,0,0,0
903,7,2013-03-03,0,0,0,0,0,0
266,1,2013-03-04,9037,894,1,1,0,0
102,1,2013-03-04,12239,1670,1,1,0,0
1046,1,2013-03-04,13330,941,1,1,0,0
793,1,2013-03-04,8338,647,1,1,0,0
903,1,2013-03-04,13153,924,1,1,0,0
266,2,2013-03-05,7446,789,1,1,0,0
102,2,2013-03-05,8269,1276,1,1,0,0
1046,2,2013-03-05,8718,684,1,1,0,0
793,2,2013-03-05,5236,450,1,1,0,0
903,2,2013-03-05,11345,777,1,1,0,0
266,3,2013-03-06,6537,727,1,1,0,0
102,3,2013-03-06,7829,1223,1,1,0,0
1046,3,2013-03-06,9644,718,1,1,0,0
793,3,2013-03-06,4810,427,1,1,0,0
903,3,2013-03-06,10354,734,1,1,0,0
266,4,2013-03-07,6730,749,1,1,0,0
102,4,2013-03-07,6762,1164,1,1,0,0
1046,4,2013-03-07,9293,738,1,1,0,0
793,4,2013-03-07,4948,437,1,1,0,0
903,4,2013-03-07,10674,734,1,1,0,0
266,5,2013-03-08,5488,604,1,1,0,0
102,5,2013-03-08,6746,1170,1,1,0,0
1046,5,2013-03-08,9266,724,1,1,0,0
793,5,2013-03-08,5760,523,1,1,0,0
903,5,2013-03-08,11759,852,1,1,0,0
266,6,2013-03-09,2869,315,1,0,0,0
102,6,2013-03-09,4730,811,1,0,0,0
1046,6,2013-03-09,5815,497,1,0,0,0
793,6,2013-03-09,3443,362,1,0,0,0
903,6,2013-03-09,11395,882,1,0,0,0
266,7,2013-03-10,0,0,0,0,0,0
102,7,2013-03-10,0,0,0,0,0,0
1046,7,2013-03-10,0,0,0,0,0,0
793,7,2013-03-10,0,0,0,0,0,0
903,7,2013-03-10,0,0,0,0,0,0
266,1,2013-03-11,4187,569,1,0,0,0
102,1,2013-03-11,4104,753,1,0,0,0
1046,1,2013-03-11,6519,537,1,0,0,0
793,1,2013-03-11,3343,346,1,0,0,0
903,1,2013-03-11,9796,782,1,0,0,0
266,2,2013-03-12,4043,523,1,0,0,0
102,2,2013-03-12,3531,646,1,0,0,0
1046,2,2013-03-12,4557,403,1,0,0,0
793,2,2013-03-12,2465,260,1,0,0,0
903,2,2013-03-12,9092,697,1,0,0,0
266,3,2013-03-13,3615,438,1,0,0,0
102,3,2013-03-13,4096,793,1,0,0,0
1046,3,2013-03-13,6162,537,1,0,0,0
793,3,2013-03-13,2858,335,1,0,0,0
903,3,2013-03-13,8140,609,1,0,0,0
266,4,2013-03-14,5297,594,1,0,0,0
102,4,2013-03-14,4154,767,1,0,0,0
1046,4,2013-03-14,6052,511,1,0,0,0
793,4,2013-03-14,2476,289,1,0,0,0
903,4,2013-03-14,8494,651,1,0,0,0
266,5,2013-03-15,3745,460,1,0,0,0
102,5,2013-03-15,4679,863,1,0,0,0
1046,5,2013-03-15,7933,635,1,0,0,0
793,5,2013-03-15,3531,380,1,0,0,0
903,5,2013-03-15,10711,759,1,0,0,0
266,6,2013-03-16,3091,312,1,0,0,0
102,6,2013-03-16,5483,986,1,0,0,0
1046,6,2013-03-16,6067,536,1,0,0,0
793,6,2013-03-16,4531,452,1,0,0,0
903,6,2013-03-16,11246,835,1,0,0,0
266,7,2013-03-17,0,0,0,0,0,0
102,7,2013-03-17,0,0,0,0,0,0
1046,7,2013-03-17,0,0,0,0,0,0
793,7,2013-03-17,0,0,0,0,0,0
903,7,2013-03-17,0,0,0,0,0,0
266,1,2013-03-18,6728,728,1,1,0,0
102,1,2013-03-18,11013,1499,1,1,0,0
1046,1,2013-03-18,10301,767,1,1,0,0
793,1,2013-03-18,7809,626,1,1,0,0
903,1,2013-03-18,13101,889,1,1,0,0
266,2,2013-03-19,5360,607,1,1,0,0
102,2,2013-03-19,8173,1214,1,1,0,0
1046,2,2013-03-19,8067,612,1,1,0,0
793,2,2013-03-19,5313,476,1,1,0,0
903,2,2013-03-19,11370,775,1,1,0,0
266,3,2013-03-20,5741,624,1,1,0,0
102,3,2013-03-20,5752,886,1,1,0,0
1046,3,2013-03-20,8802,630,1,1,0,0
793,3,2013-03-20,4027,376,1,1,0,0
903,3,2013-03-20,10653,752,1,1,0,0
266,4,2013-03-21,4580,569,1,1,0,0
102,4,2013-03-21,7418,1081,1,1,0,0
1046,4,2013-03-21,7926,621,1,1,0,0
793,4,2013-03-21,4617,439,1,1,0,0
903,4,2013-03-21,10290,742,1,1,0,0
266,5,2013-03-22,5069,576,1,1,0,0
102,5,2013-03-22,6753,1061,1,1,0,0
1046,5,2013-03-22,9261,756,1,1,0,0
793,5,2013-03-22,4579,430,1,1,0,0
903,5,2013-03-22,11325,840,1,1,0,0
266,6,2013-03-23,3135,339,1,0,0,0
102,6,2013-03-23,4640,804,1,0,0,0
1046,6,2013-03-23,5989,497,1,0,0,0
793,6,2013-03-23,4156,416,1,0,0,0
903,6,2013-03-23,12359,912,1,0,0,0
266,7,2013-03-24,0,0,0,0,0,0
102,7,2013-03-24,0,0,0,0,0,0
1046,7,2013-03-24,0,0,0,0,0,0
793,7,2013-03-24,0,0,0,0,0,0
903,7,2013-03-24,0,0,0,0,0,0
266,1,2013-03-25,8071,835,1,1,0,0
102,1,2013-03-25,9504,1358,1,1,0,1
1046,1,2013-03-25,11540,835,1,1,0,1
793,1,2013-03-25,7338,637,1,1,0,1
903,1,2013-03-25,15003,996,1,1,0,1
266,2,2013-03-26,7297,802,1,1,0,0
102,2,2013-03-26,8552,1246,1,1,0,1
1046,2,2013-03-26,10722,737,1,1,0,1
793,2,2013-03-26,5587,478,1,1,0,1
903,2,2013-03-26,10671,746,1,1,0,1
266,3,2013-03-27,6772,737,1,1,0,0
102,3,2013-03-27,8605,1263,1,1,0,1
1046,3,2013-03-27,12483,882,1,1,0,1
793,3,2013-03-27,6169,572,1,1,0,1
903,3,2013-03-27,14396,990,1,1,0,1
266,4,2013-03-28,7643,843,1,1,0,0
102,4,2013-03-28,11606,1599,1,1,0,1
1046,4,2013-03-28,13294,969,1,1,0,1
793,4,2013-03-28,7414,671,1,1,0,1
903,4,2013-03-28,15217,1129,1,1,0,1
266,5,2013-03-29,0,0,0,1,b,1
102,5,2013-03-29,0,0,0,1,b,1
1046,5,2013-03-29,0,0,0,1,b,1
793,5,2013-03-29,0,0,0,1,b,1
903,5,2013-03-29,0,0,0,1,b,1
266,6,2013-03-30,4250,425,1,0,0,0
102,6,2013-03-30,9277,1502,1,0,0,0
1046,6,2013-03-30,10517,855,1,0,0,0
793,6,2013-03-30,5461,624,1,0,0,0
903,6,2013-03-30,16008,1242,1,0,0,0
266,7,2013-03-31,0,0,0,0,0,0
102,7,2013-03-31,0,0,0,0,0,0
1046,7,2013-03-31,0,0,0,0,0,0
793,7,2013-03-31,0,0,0,0,0,0
903,7,2013-03-31,0,0,0,0,0,0
266,1,2013-04-01,0,0,0,0,b,1
102,1,2013-04-01,0,0,0,0,b,1
1046,1,2013-04-01,0,0,0,0,b,0
793,1,2013-04-01,0,0,0,0,b,1
903,1,2013-04-01,0,0,0,0,b,1
266,2,2013-04-02,4940,619,1,0,0,1
102,2,2013-04-02,6767,1163,1,0,0,1
1046,2,2013-04-02,7057,621,1,0,0,0
793,2,2013-04-02,3596,414,1,0,0,1
903,2,2013-04-02,11151,848,1,0,0,1
266,3,2013-04-03,3997,551,1,0,0,1
102,3,2013-04-03,5622,1005,1,0,0,1
1046,3,2013-04-03,7095,579,1,0,0,0
793,3,2013-04-03,2967,346,1,0,0,1
903,3,2013-04-03,9408,685,1,0,0,1
266,4,2013-04-04,4290,600,1,0,0,1
102,4,2013-04-04,5541,979,1,0,0,1
1046,4,2013-04-04,6918,626,1,0,0,0
793,4,2013-04-04,3427,367,1,0,0,1
903,4,2013-04-04,9659,751,1,0,0,1
266,5,2013-04-05,4022,537,1,0,0,1
102,5,2013-04-05,5232,891,1,0,0,1
1046,5,2013-04-05,7365,667,1,0,0,0
793,5,2013-04-05,3634,360,1,0,0,1
903,5,2013-04-05,10239,758,1,0,0,1
266,6,2013-04-06,2708,307,1,0,0,0
102,6,2013-04-06,4823,882,1,0,0,0
1046,6,2013-04-06,5835,536,1,0,0,0
793,6,2013-04-06,4217,434,1,0,0,0
903,6,2013-04-06,11817,861,1,0,0,0
266,7,2013-04-07,0,0,0,0,0,0
102,7,2013-04-07,0,0,0,0,0,0
1046,7,2013-04-07,0,0,0,0,0,0
793,7,2013-04-07,0,0,0,0,0,0
903,7,2013-04-07,0,0,0,0,0,0
266,1,2013-04-08,8082,828,1,1,0,0
102,1,2013-04-08,10503,1374,1,1,0,0
1046,1,2013-04-08,11667,883,1,1,0,0
793,1,2013-04-08,7893,642,1,1,0,0
903,1,2013-04-08,12693,887,1,1,0,0
266,2,2013-04-09,7004,771,1,1,0,0
102,2,2013-04-09,8197,1203,1,1,0,0
1046,2,2013-04-09,8610,688,1,1,0,0
793,2,2013-04-09,6256,507,1,1,0,0
903,2,2013-04-09,9985,745,1,1,0,0
266,3,2013-04-10,5225,651,1,1,0,0
102,3,2013-04-10,6957,1032,1,1,0,0
1046,3,2013-04-10,9093,703,1,1,0,0
793,3,2013-04-10,4423,412,1,1,0,0
903,3,2013-04-10,9911,745,1,1,0,0
266,4,2013-04-11,5410,676,1,1,0,0
102,4,2013-04-11,6496,1065,1,1,0,0
1046,4,2013-04-11,8375,681,1,1,0,0
793,4,2013-04-11,5292,458,1,1,0,0
903,4,2013-04-11,11614,803,1,1,0,0
266,5,2013-04-12,5108,585,1,1,0,0
102,5,2013-04-12,6688,1061,1,1,0,0
1046,5,2013-04-12,8844,716,1,1,0,0
793,5,2013-04-12,4640,460,1,1,0,0
903,5,2013-04-12,12992,915,1,1,0,0
266,6,2013-04-13,2678,327,1,0,0,0
102,6,2013-04-13,4655,879,1,0,0,0
1046,6,2013-04-13,5778,509,1,0,0,0
793,6,2013-04-13,4341,456,1,0,0,0
903,6,2013-04-13,10610,839,1,0,0,0
266,7,2013-04-14,0,0,0,0,0,0
102,7,2013-04-14,0,0,0,0,0,0
1046,7,2013-04-14,0,0,0,0,0,0
793,7,2013-04-14,0,0,0,0,0,0
903,7,2013-04-14,0,0,0,0,0,0
266,1,2013-04-15,4336,646,1,0,0,0
102,1,2013-04-15,4358,785,1,0,0,0
1046,1,2013-04-15,5307,530,1,0,0,0
793,1,2013-04-15,2863,335,1,0,0,0
903,1,2013-04-15,7966,627,1,0,0,0
266,2,2013-04-16,4203,582,1,0,0,0
102,2,2013-04-16,4316,820,1,0,0,0
1046,2,2013-04-16,5582,501,1,0,0,0
793,2,2013-04-16,2358,291,1,0,0,0
903,2,2013-04-16,8779,680,1,0,0,0
266,3,2013-04-17,4428,562,1,0,0,0
102,3,2013-04-17,4475,835,1,0,0,0
1046,3,2013-04-17,5199,501,1,0,0,0
793,3,2013-04-17,3021,340,1,0,0,0
903,3,2013-04-17,7925,629,1,0,0,0
266,4,2013-04-18,4361,607,1,0,0,0
102,4,2013-04-18,4392,835,1,0,0,0
1046,4,2013-04-18,6114,540,1,0,0,0
793,4,2013-04-18,2725,335,1,0,0,0
903,4,2013-04-18,8476,632,1,0,0,0
266,5,2013-04-19,3806,476,1,0,0,0
102,5,2013-04-19,4432,770,1,0,0,0
1046,5,2013-04-19,6456,599,1,0,0,0
793,5,2013-04-19,3137,357,1,0,0,0
903,5,2013-04-19,11556,844,1,0,0,0
266,6,2013-04-20,2727,311,1,0,0,0
102,6,2013-04-20,5308,941,1,0,0,0
1046,6,2013-04-20,4932,469,1,0,0,0
793,6,2013-04-20,4327,456,1,0,0,0
903,6,2013-04-20,11947,898,1,0,0,0
266,7,2013-04-21,0,0,0,0,0,0
102,7,2013-04-21,0,0,0,0,0,0
1046,7,2013-04-21,0,0,0,0,0,0
793,7,2013-04-21,0,0,0,0,0,0
903,7,2013-04-21,0,0,0,0,0,0
266,1,2013-04-22,6985,737,1,1,0,0
102,1,2013-04-22,9352,1340,1,1,0,0
1046,1,2013-04-22,11193,855,1,1,0,0
793,1,2013-04-22,6601,600,1,1,0,0
903,1,2013-04-22,13013,861,1,1,0,0
266,2,2013-04-23,5774,691,1,1,0,0
102,2,2013-04-23,7006,1102,1,1,0,0
1046,2,2013-04-23,8302,690,1,1,0,0
793,2,2013-04-23,5160,458,1,1,0,0
903,2,2013-04-23,9456,678,1,1,0,0
266,3,2013-04-24,5350,639,1,1,0,0
102,3,2013-04-24,5967,1010,1,1,0,0
1046,3,2013-04-24,6766,606,1,1,0,0
793,3,2013-04-24,4100,395,1,1,0,0
903,3,2013-04-24,8893,639,1,1,0,0
266,4,2013-04-25,4993,680,1,1,0,0
102,4,2013-04-25,5545,1028,1,1,0,0
1046,4,2013-04-25,7119,596,1,1,0,0
793,4,2013-04-25,4157,410,1,1,0,0
903,4,2013-04-25,9467,659,1,1,0,0
266,5,2013-04-26,4775,553,1,1,0,0
